登録番号,重み付き和,重み付き二乗和,重み計,基準日
3827,4.1998299609,0.814770756,24.9761470663,2026-09-15
3828,3.0084480074,0.5846112703,17.3883881688,2026-09-15
3831,3.5758064074,0.6704688146,25.4607157995,2026-09-15
3832,1.781714206,0.3481511402,10.2687632542,2026-09-15
3833,3.6554333553,0.567033625,29.3389967383,2026-09-15
3834,4.1991422826,0.8529163122,25.5432756405,2026-09-15
3837,4.8537166049,0.8365060832,31.6508364683,2026-09-15
3838,3.5201004557,0.5415449533,25.974018292,2026-09-15
3839,4.0595252275,0.9816409126,19.785297006,2026-09-15
3841,5.2899376606,0.9252630309,33.8526052826,2026-09-15
3842,5.4117291186,1.091259601,30.5384702444,2026-09-15
3843,3.9249540957,0.7422961268,26.1747964065,2026-09-15
3845,4.3934362936,0.9269890582,22.9970838364,2026-09-15
3848,3.6967343747,0.8158549527,22.7859549038,2026-09-15
3849,0.3036561929,0.0494652513,2.1190853777,2026-09-15
3850,3.883504659,0.591941411,28.8662878043,2026-09-15
3851,0.0393198447,0.0083073236,0.2157683482,2026-09-15
3852,5.1527885374,1.0343499362,29.0077496736,2026-09-15
3853,4.9870632528,0.9915816513,28.9953619598,2026-09-15
3854,3.2592916531,0.5684958338,23.2204037362,2026-09-15
3857,5.043573837,0.9929928983,29.5772613812,2026-09-15
3859,3.4624676033,0.601444359,24.0257991492,2026-09-15
3860,4.4901293636,0.9370994014,24.809072496,2026-09-15
3863,4.2162331788,0.7701611929,26.9120003397,2026-09-15
3866,3.4349859374,0.7075897969,19.7519224013,2026-09-15
3867,4.4451458688,1.0041906147,23.5809355177,2026-09-15
3868,4.2318842506,0.8202687165,24.0304335027,2026-09-15
3869,2.7062277208,0.5402276159,15.1541423964,2026-09-15
3870,4.8837416466,1.014688556,27.0498626365,2026-09-15
3871,1.853536321,0.4226235997,9.0578765904,2026-09-15
3872,4.9673065704,1.1316090917,25.9307680139,2026-09-15
3873,3.9227432822,0.7287074502,24.804999431,2026-09-15
3874,3.7498548346,0.6245106502,26.3748999239,2026-09-15
3875,4.1788576712,0.8078015503,24.1496995994,2026-09-15
3876,4.826004601,0.9427622971,28.2553982114,2026-09-15
3878,3.7277303311,0.7728936506,22.2956002567,2026-09-15
3880,4.6732651266,0.9055324436,27.2325592307,2026-09-15
3882,4.4122782792,0.9619284951,24.8247775517,2026-09-15
3885,4.0034153973,0.7329761439,24.6762108809,2026-09-15
3888,4.3787990888,0.7842171315,28.4209114867,2026-09-15
3889,3.1318259545,0.5131182127,21.8588444378,2026-09-15
3891,4.0710882512,0.7759387157,23.7192680932,2026-09-15
3892,3.8834942855,0.7193988159,24.9752140426,2026-09-15
3893,3.9044657738,0.7505027851,23.5242537869,2026-09-15
3895,1.1932370902,0.3720349488,4.7175208956,2026-09-15
3896,3.3151786256,0.6319351228,20.2852196259,2026-09-15
3897,3.9769199272,0.5431069614,33.3697386904,2026-09-15
3898,5.3013127252,0.8990588494,37.0389209939,2026-09-15
3900,3.5801368787,0.6814043821,21.3303164234,2026-09-15
3901,5.2838782305,1.2467993469,26.5066681115,2026-09-15
3904,4.1144700788,0.7696428494,25.2164226283,2026-09-15
3905,4.1783280257,0.675040695,29.9494000818,2026-09-15
3906,4.0124291921,0.8923763349,20.5330724944,2026-09-15
3907,3.5826276528,0.6542118559,22.169681344,2026-09-15
3908,4.1833577625,0.736206618,27.6754464281,2026-09-15
3909,2.6533514154,0.2835142606,29.0072508266,2026-09-15
3910,3.616534671,0.7386115349,21.2678077573,2026-09-15
3911,4.3167729921,0.8338172144,25.3390391285,2026-09-15
3912,3.8406146705,0.6389221458,28.9595842038,2026-09-15
3915,6.3430992698,1.3491268089,33.7232686376,2026-09-15
3918,5.274248123,0.967541398,32.1260533751,2026-09-15
3920,2.6008546494,0.4808421244,15.653494565,2026-09-15
3921,0.0232708445,0.0052489416,0.11289806,2026-09-15
3922,3.7990303775,0.7651958554,20.5221075475,2026-09-15
3928,3.6391119335,0.6898414615,22.0773021367,2026-09-15
