レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202607022110,2026-07-02,21,10R,12:56,2026-07-02T13:04:25.734017+09:00,2,270,2,310,4,330,,,2-4,3000,9,2=4,1100,5,2=4,340,5,2=6,900,11,4=6,810,9,2-4-6,12260,35,2=4=6,2420,10
202607021106,2026-07-02,11,06R,13:00,2026-07-02T13:10:25.946445+09:00,5,450,5,250,2,250,,,5-2,1280,8,2=5,370,2,2=5,170,3,3=5,150,1,2=3,160,2,5-2-3,2070,6,2=3=5,260,1
202607020504,2026-07-02,05,04R,13:03,2026-07-02T13:12:25.616522+09:00,1,170,1,180,2,170,,,1-2,380,1,1=2,350,1,1=2,150,1,1=5,280,4,2=5,300,5,1-2-5,2170,8,1=2=5,820,5
202607022310,2026-07-02,23,10R,13:07,2026-07-02T13:16:20.804004+09:00,4,1110,4,660,2,490,,,4-2,9540,17,2=4,3210,10,2=4,490,8,1=4,170,1,1=2,260,5,4-2-1,26570,51,1=2=4,710,3
202607020604,2026-07-02,06,04R,13:11,2026-07-02T13:20:24.509309+09:00,4,680,4,230,2,110,,,4-2,1580,5,2=4,330,2,2=4,200,2,4=6,320,4,2=6,410,8,4-2-6,5210,19,2=4=6,800,4
202607020806,2026-07-02,08,06R,13:09,2026-07-02T13:22:21.352600+09:00,5,1770,5,370,2,200,,,5-2,11150,12,2=5,4930,6,2=5,510,6,4=5,1160,11,2=4,740,8,5-2-4,141430,86,2=4=5,16290,13
202607022203,2026-07-02,22,03R,13:17,2026-07-02T13:24:22.662470+09:00,3,150,3,100,1,100,,,3-1,260,1,1=3,250,1,1=3,140,2,3=5,350,7,1=5,210,3,3-1-5,1040,4,1=3=5,460,3
202607021606,2026-07-02,16,06R,13:22,2026-07-02T13:30:28.619150+09:00,4,390,4,230,5,360,,,4-5,1990,9,4=5,1250,6,4=5,300,6,1=4,270,3,1=5,220,2,4-5-1,5490,23,1=4=5,830,4
202607020404,2026-07-02,04,04R,13:25,2026-07-02T13:34:18.663455+09:00,4,1680,4,290,3,170,,,4-3,3100,11,3=4,610,4,3=4,210,3,4=5,550,11,3=5,210,2,4-3-5,10000,30,3=4=5,720,4
202607022111,2026-07-02,21,11R,13:28,2026-07-02T13:36:24.840935+09:00,1,120,1,100,2,100,,,1-2,210,1,1=2,200,1,1=2,110,1,1=4,160,3,2=4,210,5,1-2-4,540,1,1=2=4,260,1
202607020505,2026-07-02,05,05R,13:33,2026-07-02T13:42:27.054490+09:00,1,100,1,100,6,330,,,1-6,930,4,1=6,850,3,1=6,220,3,1=3,220,4,3=6,570,8,1-6-3,2480,10,1=3=6,590,3
202607020605,2026-07-02,06,05R,13:37,2026-07-02T13:46:22.001424+09:00,1,190,1,140,4,230,,,1-4,530,1,1=4,330,1,1=4,130,1,1=6,440,9,4=6,180,3,1-4-6,1970,4,1=4=6,610,3
202607021107,2026-07-02,11,07R,13:35,2026-07-02T13:46:22.001424+09:00,4,340,4,240,6,310,,,4-6,1680,8,4=6,830,5,4=6,130,1,3=4,340,6,3=6,280,5,4-6-3,5860,23,3=4=6,740,4
202607022311,2026-07-02,23,11R,13:39,2026-07-02T13:48:22.543137+09:00,1,100,1,100,4,130,,,1-4,330,2,1=4,280,2,1=4,140,1,1=3,210,4,3=4,590,12,1-4-3,1450,4,1=3=4,720,3
202607020807,2026-07-02,08,07R,13:44,2026-07-02T13:56:22.088435+09:00,1,130,1,110,5,110,,,1-5,370,1,1=5,190,1,1=5,110,1,1=6,280,5,5=6,300,6,1-5-6,1350,3,1=5=6,590,3
202607022204,2026-07-02,22,04R,13:47,2026-07-02T13:58:22.496204+09:00,2,340,2,190,1,100,,,2-1,990,3,1=2,350,2,1=2,140,1,2=3,200,5,1=3,160,2,2-1-3,1360,5,1=2=3,200,1
202607021607,2026-07-02,16,07R,13:53,2026-07-02T14:02:23.071133+09:00,2,450,2,400,4,280,,,2-4,4060,15,2=4,3000,10,2=4,420,6,2=3,320,5,3=4,540,8,2-4-3,17690,55,2=3=4,1820,8
202607020405,2026-07-02,04,05R,13:55,2026-07-02T14:04:18.834062+09:00,2,900,2,390,1,180,,,2-1,3210,12,1=2,900,5,1=2,280,4,2=4,610,10,1=4,350,6,2-1-4,6920,34,1=2=4,1220,7
202607022112,2026-07-02,21,12R,14:02,2026-07-02T14:12:21.781378+09:00,3,670,3,380,2,330,,,3-2,3080,8,2=3,1770,5,2=3,440,6,3=5,970,9,2=5,970,9,3-2-5,15370,38,2=3=5,4980,12
202607020506,2026-07-02,05,06R,14:04,2026-07-02T14:14:20.460339+09:00,1,120,1,100,3,200,,,1-3,280,1,1=3,320,2,1=3,140,2,1=4,140,1,3=4,190,3,1-3-4,620,1,1=3=4,270,1
202607020606,2026-07-02,06,06R,14:06,2026-07-02T14:16:27.480619+09:00,2,470,2,250,1,100,,,2-1,3530,11,1=2,730,5,1=2,320,7,2=5,170,1,1=5,180,3,2-1-5,5600,24,1=2=5,720,3
202607021108,2026-07-02,11,08R,14:10,2026-07-02T14:18:24.825974+09:00,3,700,3,220,1,110,,,3-1,2460,9,1=3,500,2,1=3,210,2,2=3,850,9,1=2,450,7,3-1-2,12860,36,1=2=3,1270,4
202607020808,2026-07-02,08,08R,14:13,2026-07-02T14:24:24.759148+09:00,4,830,4,310,2,100,,,4-2,310,1,2=4,110,1,2=4,100,1,4=6,260,6,2=6,430,9,4-2-6,2180,10,2=4=6,1490,3
202607022312,2026-07-02,23,12R,14:15,2026-07-02T14:24:24.759148+09:00,1,140,1,100,4,150,,,1-4,190,1,1=4,140,1,1=4,100,1,1=2,240,3,2=4,270,5,1-4-2,840,3,1=2=4,600,3
202607022205,2026-07-02,22,05R,14:21,2026-07-02T14:30:26.337254+09:00,3,330,3,120,1,160,,,3-1,430,2,1=3,250,1,1=3,100,1,3=6,120,3,1=6,120,2,3-1-6,620,1,1=3=6,160,1
202607021608,2026-07-02,16,08R,14:24,2026-07-02T14:32:23.572587+09:00,3,320,3,140,4,290,,,3-4,930,4,3=4,660,3,3=4,180,3,1=3,140,1,1=4,160,2,3-4-1,2040,7,1=3=4,260,1
202607020406,2026-07-02,04,06R,14:28,2026-07-02T14:36:27.182940+09:00,2,150,2,100,5,220,,,2-5,520,2,2=5,390,2,2=5,160,2,2=6,950,11,5=6,740,10,2-5-6,4570,16,2=5=6,2290,7
202607020607,2026-07-02,06,07R,14:33,2026-07-02T14:42:20.293627+09:00,1,380,1,180,2,480,,,1-2,1560,7,1=2,1040,6,1=2,340,6,1=3,240,3,2=3,340,6,1-2-3,2320,5,1=2=3,670,3
202607020507,2026-07-02,05,07R,14:36,2026-07-02T14:44:27.125003+09:00,5,3090,5,370,2,160,,,5-2,6450,27,2=5,2640,13,2=5,570,13,1=5,420,7,1=2,170,1,5-2-1,29850,100,1=2=5,2090,11
202607020809,2026-07-02,08,09R,14:41,2026-07-02T14:50:22.507166+09:00,1,160,1,160,3,110,,,1-3,330,1,1=3,180,1,1=3,250,4,1=6,1490,12,3=6,230,3,1-3-6,3270,14,1=3=6,1990,5
202607021109,2026-07-02,11,09R,14:48,2026-07-02T14:56:22.045235+09:00,4,1550,4,820,2,370,,,4-2,5080,20,2=4,3210,10,2=4,740,11,4=5,510,8,2=5,330,6,4-2-5,17650,62,2=4=5,2430,10
