date,stadium,race_round,title,race_code,tansho,fukusho,wakren,fuku2,santan,sanfuku,santan_yosoku,sanfuku_yosoku,rentan,renfuku,rentan_yosoku,renfuku_yosoku,wide,wide_yosoku,trio,trio_yosoku,tiomate,r1_number,r1_name,r1_weight,r1_result,r1_time,r1_difference,r2_number,r2_name,r2_weight,r2_result,r2_time,r2_difference,r3_number,r3_name,r3_weight,r3_result,r3_time,r3_difference,r4_number,r4_name,r4_weight,r4_result,r4_time,r4_difference,r5_number,r5_name,r5_weight,r5_result,r5_time,r5_difference,r6_number,r6_name,r6_weight,r6_result,r6_time,r6_difference
2025-12-29,大村,08R,予選　　　　  進入固定       H1800m  雨　  風  北東　 1m  波　  1cm,138,,,,,,,,,,,,,,,,,,3,大 峯 豊,57.0,1,,,1,品 川 二千翔,72.0,2,,,2,木 場 雄二郎,11.0,3,,,5,井 上 未 都,61.0,4,,,4,瀬 川 大 地 23,20.0,5,,,6,寺 田 夢 生 48,70.0,6,,
2025-12-29,大村,09R,予選　　　　                 H1800m  曇り  風  北東　 1m  波　  1cm,139,,,,,,,,,,,,,,,,,,3,田 中 博 子,16.0,1,,,1,藤 本 紗弥香,60.0,2,,,2,冨名腰 桃 奈,20.0,3,,,5,中 尾 優 香,63.0,4,,,4,土 屋 蘭 25,56.0,5,,,6,小 畑 楓 夏 29,58.0,6,,
2025-12-29,大村,10R,R       予選　　　　                 H1800m  曇り  風  北西　 1m  波　  1cm,1310,,,,,,,,,,,,,,,,,,3,柳 瀬 興 志,44.0,1,,,2,貫地谷 直 人,32.0,2,,,1,末 永 祐 輝,55.0,3,,,6,山 田 真 聖,13.0,4,,,5,岩 崎 正 哉 22,35.0,5,,,4,丸 山 祐 也 38,17.0,6,,
2025-12-29,大村,11R,R       予選特選　　                 H1800m  曇り  風  北西　 1m  波　  1cm,1311,,,,,,,,,,,,,,,,,,1,柳 生 泰 二,49.0,1,,,2,坂 口 貴 彦,14.0,2,,,4,小 林 一 樹,19.0,3,,,6,野 田 彩 加,31.0,4,,,3,大 神 康 司 42,46.0,5,,,5,蒲 原 健 太 12,31.0,6,,
2025-12-29,大村,12R,R       お正月特選　                 H1800m  雨　  風  北西　 2m  波　  2cm,1312,,,,,,,,,,,,,,,,,,3,江 本 真 治,34.0,1,,,2,武 重 雄 介,37.0,2,,,1,大 峯 豊,57.0,3,,,4,寺 田 空 詩,45.0,4,,,6,竹 田 辰 也 36,26.0,5,,,5,川 崎 誠 志 43,36.0,6,,
2025-12-29,大村,01R,朝トク一般　                 H1800m  晴　  風  北東　 1m  波　  1cm,131,,,,,,,,,,,,,,,,,,3,金 子 猛 志,53.0,1,,,2,武 田 信 一,73.0,2,,,1,高 濱 芳 久,65.0,3,,,4,武 藤 綾 子,62.0,4,,,5,福 山 恵里奈 15,45.0,5,,,6,金 子 順 一 33,40.0,6,,
2025-12-29,大村,02R,決めトク一般                 H1800m  曇り  風  北　　 2m  波　  2cm,132,,,,,,,,,,,,,,,,,,1,松 村 敏,67.0,1,,,5,鐘ヶ江 真 司,14.0,2,,,2,三 原 司,38.0,3,,,4,溝 口 海義也,70.0,4,,,6,中 辻 崇 人 55,27.0,5,,,3,飯 山 晃 三 75,33.0,6,,
2025-12-29,大村,03R,ガチトク一般                 H1800m  曇り  風  北東　 1m  波　  1cm,133,,,,,,,,,,,,,,,,,,1,山 田 晃 大,71.0,1,,,5,常 盤 海 心,11.0,2,,,3,枝 尾 賢,44.0,3,,,6,中 嶋 誠一郎,49.0,4,,,2,茶 谷 信 次 54,54.0,5,,,4,松 本 弓 雄 34,65.0,6,,
2025-12-29,大村,04R,買っトク一般                 H1800m  曇り  風  東　　 1m  波　  1cm,134,,,,,,,,,,,,,,,,,,1,川 田 正 人,58.0,1,,,4,青 木 幸太郎,61.0,2,,,6,市 橋 卓 士,59.0,3,,,3,黒 田 剛,47.0,4,,,2,正 木 聖 賢 74,71.0,5,,,5,山 崎 鉄 平 56,53.0,6,,
2025-12-29,大村,05R,一般　　　　                 H1800m  曇り  風  北東　 1m  波　  1cm,135,,,,,,,,,,,,,,,,,,1,佐々木 裕 美,36.0,1,,,4,喜多須 杏 奈,43.0,2,,,6,伊 藤 玲 奈,52.0,3,,,3,福 山 恵里奈,15.0,4,,,2,武 藤 綾 子 62,74.0,5,,,5,犬 童 千 秋 32,69.0,6,,
