レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609261505,2026-09-26,15,05R,daily,0.6485,0.002478,0.001139,0.000465,0.000267,0.000162,0.000671,0.082502,0.028906,0.084189,0.004017,0.017490,0.029946,0.046218,0.014710,0.017646,0.174489,0.013012,0.026622,0.008052,0.001235,0.011940,0.032839,0.007853,0.026421,0.002760,0.003575,0.001808,0.002477,0.001748,0.000994,0.351496,0.001874
202609261506,2026-09-26,15,06R,daily,0.5170,0.001067,0.000679,0.000337,0.000091,0.000099,0.000271,0.005073,0.137426,0.003766,0.013803,0.006742,0.205538,0.004250,0.017708,0.006586,0.021497,0.026544,0.002720,0.003374,0.000728,0.015470,0.005293,0.027664,0.001060,0.003402,0.001515,0.000818,0.000697,0.000391,0.000832,0.482989,0.001571
202609261507,2026-09-26,15,07R,daily,0.4967,0.002845,0.000761,0.000741,0.000240,0.000200,0.000540,0.021175,0.062358,0.029489,0.017490,0.004186,0.089434,0.016755,0.037740,0.007763,0.071226,0.021138,0.010918,0.011192,0.001661,0.026467,0.013786,0.021374,0.006473,0.008125,0.003473,0.002000,0.001590,0.000948,0.001555,0.503302,0.003054
202609261508,2026-09-26,15,08R,daily,0.3010,0.001777,0.000328,0.000251,0.000119,0.000106,0.000177,0.027392,0.008342,0.029675,0.009141,0.004292,0.015632,0.019928,0.022064,0.003321,0.087369,0.004516,0.011441,0.003481,0.000359,0.020981,0.014325,0.001403,0.006009,0.002878,0.000417,0.001964,0.000854,0.000752,0.000454,0.698956,0.001295
202609261509,2026-09-26,15,09R,daily,0.3104,0.000950,0.000639,0.000200,0.000119,0.000087,0.000286,0.015888,0.027856,0.034543,0.003384,0.008245,0.031135,0.025768,0.005535,0.004181,0.065238,0.008154,0.013610,0.001053,0.000331,0.019939,0.023048,0.005973,0.006887,0.001566,0.000658,0.001192,0.001028,0.000982,0.000640,0.689605,0.001280
202609261510,2026-09-26,15,10R,daily,0.3893,0.001925,0.000613,0.000544,0.000233,0.000121,0.000577,0.017834,0.041543,0.030485,0.004098,0.016079,0.067309,0.018203,0.009160,0.010762,0.073602,0.013350,0.010362,0.003118,0.001526,0.018990,0.012180,0.012563,0.008621,0.001757,0.005517,0.001794,0.002113,0.000853,0.001100,0.610699,0.002372
202609261511,2026-09-26,15,11R,daily,0.2182,0.001247,0.000235,0.000195,0.000131,0.000079,0.000398,0.005051,0.012932,0.030310,0.002646,0.002764,0.030962,0.014990,0.006082,0.003650,0.042414,0.005358,0.006826,0.001798,0.000798,0.024440,0.004856,0.005578,0.006298,0.001097,0.001608,0.002252,0.000739,0.000653,0.000680,0.781814,0.001119
202609261512,2026-09-26,15,12R,daily,0.5030,0.003012,0.000551,0.000647,0.000227,0.000175,0.000892,0.046129,0.032616,0.031535,0.007602,0.008170,0.033777,0.015100,0.028067,0.017265,0.170549,0.014237,0.014876,0.007049,0.001067,0.017060,0.022102,0.003908,0.009293,0.003110,0.003236,0.001898,0.002502,0.000727,0.001021,0.496997,0.004604
202609261801,2026-09-26,18,01R,daily,0.3173,0.001277,0.000964,0.000277,0.000159,0.000138,0.000370,0.009911,0.046808,0.023704,0.010063,0.004226,0.041748,0.017774,0.016423,0.006066,0.039001,0.012521,0.013634,0.003792,0.001942,0.032300,0.006008,0.013268,0.003540,0.004373,0.002127,0.000831,0.001301,0.001071,0.000686,0.682747,0.000950
202609261801,2026-09-26,18,01R,realtime,0.2977,0.000869,0.000288,0.000138,0.000105,0.000140,0.000315,0.008205,0.060885,0.011169,0.004367,0.002769,0.046505,0.017911,0.015752,0.005699,0.031127,0.011281,0.010704,0.003829,0.002111,0.034065,0.004234,0.015298,0.002540,0.002530,0.001674,0.000596,0.000931,0.000659,0.000332,0.702313,0.000659
