レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609250507,2026-09-25,05,7R,realtime,4-1-3,4-3-1,4-1-2,4-1-5,3-4-1,差し,まくり,まくり,まくり差し,まくり,0.066452,0.051427,0.038888,0.030584,0.028750
202609250508,2026-09-25,05,8R,daily,3-1-5,4-1-5,3-1-4,5-1-3,3-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.019556,0.016270,0.015598,0.015404,0.015395
202609250508,2026-09-25,05,8R,realtime,3-1-5,5-1-2,3-1-2,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.015796,0.014487,0.013656,0.013381,0.012545
202609250509,2026-09-25,05,9R,daily,3-1-4,4-1-3,3-1-2,3-1-5,4-1-2,まくり差し,差し,まくり差し,まくり差し,まくり,0.036271,0.024417,0.022570,0.020268,0.019524
202609250509,2026-09-25,05,9R,realtime,3-1-4,3-1-2,2-1-4,4-1-2,2-1-3,まくり差し,まくり差し,差し,まくり,差し,0.027050,0.026893,0.023922,0.020854,0.020332
202609250510,2026-09-25,05,10R,daily,4-1-5,4-1-2,2-1-3,2-1-4,5-1-2,まくり差し,まくり,差し,差し,まくり差し,0.016034,0.015570,0.015559,0.013960,0.013336
202609250510,2026-09-25,05,10R,realtime,5-1-2,5-1-4,5-1-3,4-1-5,4-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり,0.019945,0.016019,0.015689,0.015658,0.013551
202609250511,2026-09-25,05,11R,daily,2-1-3,2-1-5,3-1-2,3-1-5,5-1-2,差し,差し,まくり差し,まくり差し,まくり差し,0.018259,0.017719,0.016926,0.015078,0.014424
202609250511,2026-09-25,05,11R,realtime,2-1-3,3-1-2,2-1-5,3-1-5,3-2-1,差し,まくり差し,差し,まくり差し,まくり,0.037571,0.029742,0.017349,0.015437,0.013288
202609250512,2026-09-25,05,12R,daily,3-1-4,3-1-2,2-1-3,3-1-5,4-1-3,まくり差し,まくり差し,差し,まくり差し,差し,0.023980,0.022011,0.018186,0.018118,0.013159
202609250512,2026-09-25,05,12R,realtime,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.013502,0.012761,0.012087,0.008922,0.008872
202609250801,2026-09-25,08,1R,daily,2-1-3,2-1-4,4-1-2,2-1-5,4-1-5,差し,差し,まくり,差し,まくり差し,0.020916,0.019830,0.016687,0.013470,0.012389
202609250801,2026-09-25,08,1R,realtime,2-1-3,2-1-4,4-1-2,2-1-5,4-1-5,差し,差し,まくり,差し,まくり差し,0.020419,0.017985,0.015319,0.012189,0.011482
202609250802,2026-09-25,08,2R,daily,3-1-4,3-1-5,3-1-2,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり,0.059017,0.047803,0.045463,0.028082,0.023376
202609250802,2026-09-25,08,2R,realtime,3-1-6,6-1-3,3-6-1,3-1-4,6-3-1,まくり,差し,まくり,まくり差し,差し,0.058926,0.052178,0.040715,0.040000,0.030186
202609250803,2026-09-25,08,3R,daily,2-1-3,3-1-4,3-1-2,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し,0.033285,0.033044,0.030658,0.030252,0.023646
202609250803,2026-09-25,08,3R,realtime,3-1-4,2-1-4,3-1-2,2-1-3,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し,0.029213,0.023668,0.021217,0.021135,0.018043
202609250804,2026-09-25,08,4R,daily,2-1-4,2-1-3,4-1-2,2-1-5,2-4-1,差し,差し,まくり,差し,差し,0.069858,0.061329,0.034137,0.033436,0.033160
202609250804,2026-09-25,08,4R,realtime,2-1-4,2-1-3,4-1-2,2-4-1,2-1-6,差し,差し,まくり,差し,差し,0.062155,0.048023,0.045702,0.028638,0.026147
202609250805,2026-09-25,08,5R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し,0.024693,0.024061,0.015211,0.014117,0.013098
202609250805,2026-09-25,08,5R,realtime,2-1-3,3-1-2,2-1-4,3-1-4,3-2-1,差し,まくり差し,差し,まくり差し,まくり,0.033309,0.027027,0.022286,0.017043,0.016425
202609250806,2026-09-25,08,6R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-1-6,差し,差し,まくり差し,差し,差し,0.032903,0.026166,0.018726,0.016142,0.014598
202609250806,2026-09-25,08,6R,realtime,6-1-2,6-1-3,2-1-6,6-2-1,6-1-4,まくり,差し,差し,まくり,まくり差し,0.070888,0.032568,0.030084,0.025169,0.022560
202609250807,2026-09-25,08,7R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり,0.053501,0.046215,0.035202,0.025943,0.020906
202609250807,2026-09-25,08,7R,realtime,5-1-6,5-1-4,5-1-2,2-1-4,2-1-6,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.033629,0.030209,0.029146,0.027798,0.023665
202609250808,2026-09-25,08,8R,daily,2-1-4,2-1-3,4-1-2,2-1-5,3-1-4,差し,差し,まくり,差し,まくり差し,0.038515,0.038397,0.025839,0.022432,0.020553
202609250808,2026-09-25,08,8R,realtime,2-1-4,4-1-2,2-1-3,4-1-3,3-1-4,差し,まくり,差し,差し,まくり差し,0.034389,0.032951,0.031241,0.027472,0.025303
202609250809,2026-09-25,08,9R,daily,2-1-4,2-1-3,4-1-2,2-1-5,4-1-3,差し,差し,まくり,差し,差し,0.039459,0.036409,0.030211,0.020444,0.020353
202609250809,2026-09-25,08,9R,realtime,2-1-4,2-1-3,2-4-1,2-1-5,4-1-2,差し,差し,差し,差し,まくり,0.072916,0.061112,0.028579,0.026966,0.025679
202609250810,2026-09-25,08,10R,daily,4-1-2,4-1-5,2-1-3,2-1-4,4-1-3,まくり,まくり差し,差し,差し,差し,0.015960,0.015471,0.015283,0.013544,0.012688
202609250810,2026-09-25,08,10R,realtime,4-1-5,4-1-2,5-1-4,4-1-3,2-1-4,まくり差し,まくり,まくり差し,差し,差し,0.021134,0.017324,0.012991,0.012563,0.012228
202609250811,2026-09-25,08,11R,daily,2-1-4,2-1-3,4-1-2,2-1-5,2-1-6,差し,差し,まくり,差し,差し,0.021985,0.019014,0.016258,0.010488,0.010022
202609250811,2026-09-25,08,11R,realtime,2-1-4,2-1-3,2-1-6,4-1-2,2-4-1,差し,差し,差し,まくり,差し,0.042312,0.025574,0.018952,0.015109,0.013349
202609250812,2026-09-25,08,12R,daily,4-1-2,4-1-5,2-1-4,4-1-3,5-1-4,まくり,まくり差し,差し,差し,まくり差し,0.024970,0.019962,0.017567,0.014963,0.011645
202609250812,2026-09-25,08,12R,realtime,4-1-2,2-1-4,4-1-5,5-1-4,4-1-3,まくり,差し,まくり差し,まくり差し,差し,0.020258,0.016210,0.015890,0.011468,0.010791
202609250901,2026-09-25,09,1R,daily,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.018478,0.017602,0.016121,0.012938,0.012507
202609250901,2026-09-25,09,1R,realtime,3-1-2,2-1-3,3-1-4,2-1-4,4-1-2,まくり差し,差し,まくり差し,差し,まくり,0.024957,0.022043,0.019227,0.013007,0.011382
