レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607251309,2026-07-25,13,09R,3605,0.1857,3892,0.1567,4570,0.1497,5181,0.1449,3699,0.1985,3333,0.1576
202607251310,2026-07-25,13,10R,3473,0.1237,4732,0.1102,4363,0.145,4917,0.146,4089,0.1647,5091,0.1665
202607251311,2026-07-25,13,11R,4847,0.133,3572,0.1803,5137,0.1541,5026,0.1439,4822,0.1602,4529,0.1404
202607251312,2026-07-25,13,12R,4012,0.1337,4296,0.1566,5051,0.146,4384,0.1677,4356,0.1554,3931,0.1499
202607251401,2026-07-25,14,01R,4939,0.1161,5143,0.1893,2878,0.1654,3569,0.175,5172,0.1752,4176,0.1807
202607251402,2026-07-25,14,02R,4105,0.1795,4391,0.1504,4342,0.1431,3563,0.1431,5063,0.1814,4261,0.1707
202607251403,2026-07-25,14,03R,4483,0.1322,4523,0.152,4407,0.1546,3906,0.2132,4736,0.1299,5366,0.1829
202607251404,2026-07-25,14,04R,4099,0.152,3156,0.1646,4220,0.1492,4081,0.1768,4713,0.1289,4584,0.1567
202607251405,2026-07-25,14,05R,4239,0.1275,5183,0.1475,4404,0.1949,4154,0.1785,4052,0.1428,5421,0.2533
202607251406,2026-07-25,14,06R,3569,0.1705,4428,0.1312,3257,0.1286,4180,0.1468,3660,0.1928,3692,0.1521
202607251407,2026-07-25,14,07R,5063,0.174,4407,0.1606,3655,0.1883,4121,0.1232,2878,0.1713,4794,0.1444
202607251408,2026-07-25,14,08R,4342,0.1416,3792,0.1585,5366,0.1635,4220,0.1522,4939,0.1235,5337,0.1945
202607251409,2026-07-25,14,09R,4390,0.179,4081,0.1798,4441,0.1072,5143,0.1863,4105,0.1869,4239,0.1484
202607251410,2026-07-25,14,10R,4154,0.174,4584,0.1433,4261,0.1513,4176,0.1643,4428,0.1311,3906,0.2296
202607251411,2026-07-25,14,11R,4713,0.1215,4180,0.1498,4052,0.1369,3655,0.1913,4483,0.1396,3563,0.1595
202607251412,2026-07-25,14,12R,3257,0.1271,4794,0.131,4099,0.1535,5172,0.1723,4523,0.1519,3792,0.1719
202607251501,2026-07-25,15,01R,5352,0.1598,3516,0.1632,4214,0.14,4186,0.1561,4103,0.211,5443,0.2084
202607251502,2026-07-25,15,02R,3772,0.1403,5244,0.1766,4009,0.114,4944,0.156,4319,0.167,4164,0.1816
202607251503,2026-07-25,15,03R,3546,0.1618,5175,0.1603,4189,0.1755,4169,0.1868,4861,0.1553,5372,0.1858
202607251504,2026-07-25,15,04R,4348,0.1458,3614,0.1649,3857,0.1763,5177,0.1914,5452,0.214,4654,0.161
202607251505,2026-07-25,15,05R,4394,0.1309,4631,0.1465,4729,0.1703,3854,0.1627,3516,0.1631,4471,0.1655
202607251506,2026-07-25,15,06R,4152,0.1502,4103,0.2111,4944,0.153,3907,0.1566,3523,0.1874,4096,0.153
202607251507,2026-07-25,15,07R,4314,0.1365,4186,0.1591,4163,0.1522,5372,0.1694,5175,0.1602,4337,0.1352
202607251508,2026-07-25,15,08R,4302,0.1218,4861,0.1554,4169,0.1838,4009,0.117,5177,0.1943,5452,0.2275
202607251509,2026-07-25,15,09R,3854,0.1582,4319,0.1671,4654,0.1416,4214,0.143,5244,0.1765,4189,0.1949
202607251510,2026-07-25,15,10R,4096,0.1321,5352,0.1673,3546,0.1633,4394,0.1354,4631,0.1464,3907,0.173
202607251511,2026-07-25,15,11R,4471,0.1446,4314,0.144,4348,0.1473,4152,0.1547,3614,0.1648,3772,0.1612
202607251512,2026-07-25,15,12R,4361,0.1285,4537,0.1279,4075,0.117,5037,0.1522,4788,0.1419,3988,0.147
202607251701,2026-07-25,17,01R,4276,0.1406,4835,0.1442,4982,0.1633,3891,0.1681,4943,0.1497,5448,0.2321
202607251702,2026-07-25,17,02R,4094,0.1684,3976,0.1844,4904,0.1502,4109,0.1327,5457,0.1943,3757,0.1768
202607251703,2026-07-25,17,03R,4674,0.1375,3833,0.1259,4179,0.1461,4299,0.1496,3776,0.1751,4555,0.1801
202607251704,2026-07-25,17,04R,4715,0.1385,5336,0.1758,4706,0.1822,4672,0.1702,4066,0.1629,4652,0.1721
202607251705,2026-07-25,17,05R,4161,0.1474,4930,0.1495,4351,0.1223,5420,0.1461,4708,0.2007,4580,0.1726
202607251706,2026-07-25,17,06R,4565,0.1624,3777,0.1824,4786,0.1284,3574,0.1472,3211,0.1609,4982,0.1827
202607251707,2026-07-25,17,07R,4703,0.1302,4866,0.1734,4422,0.1581,3757,0.1604,3891,0.171,4638,0.1981
202607251708,2026-07-25,17,08R,4179,0.1446,4943,0.1498,5020,0.1596,4405,0.1513,4446,0.1458,5457,0.2078
202607251709,2026-07-25,17,09R,3776,0.1677,4215,0.1599,4652,0.1527,4094,0.1729,5448,0.2186,4600,0.1483
202607251710,2026-07-25,17,10R,4299,0.1451,4580,0.1592,4191,0.144,4835,0.1412,4706,0.1881,3976,0.1978
202607251711,2026-07-25,17,11R,3574,0.1427,4351,0.1283,4276,0.1421,4715,0.143,4904,0.1561,3833,0.1393
202607251712,2026-07-25,17,12R,4786,0.1269,4066,0.163,4703,0.1317,4674,0.142,4109,0.1356,4930,0.1629
202607252001,2026-07-25,20,01R,3519,0.1761,5320,0.1671,4247,0.1601,4705,0.1282,5157,0.1606,5370,0.2059
202607252002,2026-07-25,20,02R,3947,0.1741,4188,0.1153,4079,0.1524,5070,0.2026,5268,0.1798,3841,0.1638
202607252003,2026-07-25,20,03R,4325,0.1397,3489,0.135,4145,0.2416,4850,0.1039,4785,0.1779,4442,0.1898
202607252004,2026-07-25,20,04R,3859,0.1327,4128,0.1572,4504,0.1249,5093,0.1836,5050,0.1635,4615,0.1818
202607252005,2026-07-25,20,05R,3942,0.132,4819,0.1806,4705,0.1252,4366,0.1408,4327,0.1945,5358,0.2314
202607252006,2026-07-25,20,06R,4779,0.1373,3932,0.1676,5070,0.1996,4287,0.1424,3519,0.1835,4890,0.1337
202607252007,2026-07-25,20,07R,4168,0.1588,4785,0.178,5270,0.164,4079,0.1554,5412,0.1658,5002,0.175
202607252008,2026-07-25,20,08R,3489,0.1275,4762,0.1232,4372,0.1519,5320,0.1641,3947,0.1815,4196,0.1836
202607252009,2026-07-25,20,09R,4259,0.131,4442,0.1764,5093,0.1806,5398,0.1707,4145,0.2475,4530,0.162
202607252010,2026-07-25,20,10R,4366,0.1363,5050,0.1636,4890,0.1143,5268,0.1769,4325,0.1471,4247,0.1795
202607252011,2026-07-25,20,11R,4850,0.0994,5157,0.1607,3841,0.1444,5270,0.167,4819,0.1805,4128,0.1706
202607252012,2026-07-25,20,12R,4504,0.1234,4168,0.1663,3942,0.1335,4188,0.1123,4287,0.1453,4762,0.1366
202607252101,2026-07-25,21,01R,3435,0.1499,5293,0.1825,3282,0.1777,4336,0.132,5283,0.2121,5100,0.1781
202607252102,2026-07-25,21,02R,4120,0.1485,3305,0.1549,5369,0.1553,4352,0.1378,4694,0.1742,3834,0.1753
202607252103,2026-07-25,21,03R,3582,0.1591,5263,0.1712,3746,0.1538,4197,0.182,4236,0.1256,4416,0.1936
202607252104,2026-07-25,21,04R,4798,0.1139,4660,0.1848,3842,0.1828,4501,0.1514,4522,0.1447,4373,0.2013
202607252105,2026-07-25,21,05R,4561,0.2029,5248,0.1814,5239,0.1385,4436,0.1668,3918,0.1643,3584,0.1886
202607252106,2026-07-25,21,06R,4879,0.1547,4376,0.1492,3616,0.1479,5283,0.2092,5227,0.2002,3623,0.1697
202607252107,2026-07-25,21,07R,4694,0.1668,3268,0.1535,5293,0.1765,4562,0.1902,4945,0.1755,5101,0.1808
202607252108,2026-07-25,21,08R,4197,0.1775,4373,0.1879,4336,0.129,4882,0.2364,5369,0.1612,4027,0.187
202607252109,2026-07-25,21,09R,3842,0.1813,3582,0.1666,4969,0.1635,3305,0.1519,5239,0.1444,4420,0.17
202607252110,2026-07-25,21,10R,4436,0.1623,3282,0.1837,4416,0.1742,3616,0.1509,4120,0.1559,3898,0.1509
202607252111,2026-07-25,21,11R,3746,0.1523,3584,0.1752,3834,0.1559,4798,0.1184,3435,0.1573,4376,0.1626
202607252112,2026-07-25,21,12R,4352,0.1333,4522,0.1448,4945,0.1696,4879,0.1592,4027,0.1735,3918,0.1778
202607252301,2026-07-25,23,01R,4460,0.1378,3392,0.1969,3370,0.1969,4429,0.1831,3998,0.1702,5310,0.197
202607252302,2026-07-25,23,02R,4411,0.1738,4362,0.1427,5395,0.1657,4905,0.1867,4648,0.1412,5459,0.2188
202607252303,2026-07-25,23,03R,3987,0.1457,4248,0.16,4216,0.134,5006,0.1882,4072,0.127,5435,0.2567
202607252304,2026-07-25,23,04R,4252,0.1541,4962,0.1565,5276,0.1428,5004,0.1336,5294,0.1577,4497,0.153
202607252305,2026-07-25,23,05R,5267,0.1409,4909,0.1791,4978,0.1527,4254,0.1456,4092,0.164,4102,0.1536
202607252306,2026-07-25,23,06R,4368,0.1806,4343,0.1658,4429,0.1801,4330,0.1196,3392,0.1968,4950,0.164
202607252307,2026-07-25,23,07R,5140,0.1653,3615,0.1472,3875,0.1589,4289,0.1539,5459,0.2053,4218,0.1505
202607252308,2026-07-25,23,08R,5395,0.1642,3430,0.1604,3998,0.1643,4633,0.1498,4085,0.201,5397,0.2043
202607252309,2026-07-25,23,09R,4365,0.1719,5006,0.1912,4248,0.154,4460,0.1423,4905,0.1896,4936,0.2134
202607252310,2026-07-25,23,10R,4950,0.1431,4411,0.1813,5267,0.1424,4216,0.137,4962,0.1564,3987,0.1666
202607252311,2026-07-25,23,11R,4497,0.1321,4102,0.1402,4362,0.1367,4092,0.1611,5004,0.1365,5140,0.1862
202607252312,2026-07-25,23,12R,4072,0.1196,4218,0.1371,4289,0.1509,4978,0.1557,4252,0.1615,4368,0.2015
202607252401,2026-07-25,24,01R,4898,0.1263,5176,0.1753,4232,0.1521,5261,0.1533,4301,0.1825,3945,0.1988
