レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202607250103,2026-07-25,01,03R,16:27,2026-07-25T16:18:20.186834+09:00,1532,5.0,7,4.0,1,33.0,25.0
202607250212,2026-07-25,02,12R,16:30,2026-07-25T16:20:29.691944+09:00,1558,7.0,3,5.0,1,31.0,32.0
202607251203,2026-07-25,12,03R,16:31,2026-07-25T16:22:19.946007+09:00,1551,2.0,4,1.0,1,35.0,34.0
202607251503,2026-07-25,15,03R,16:33,2026-07-25T16:24:21.136534+09:00,1601,2.0,7,2.0,1,35.0,28.0
202607250611,2026-07-25,06,11R,16:35,2026-07-25T16:26:25.886993+09:00,1612,3.0,6,2.0,1,37.0,28.0
202607252003,2026-07-25,20,03R,16:37,2026-07-25T16:28:22.685447+09:00,1606,1.0,1,1.0,1,31.0,33.0
202607250410,2026-07-25,04,10R,16:39,2026-07-25T16:31:26.353655+09:00,1607,3.0,3,3.0,3,31.0,28.0
202607251712,2026-07-25,17,12R,16:53,2026-07-25T16:44:28.962701+09:00,1616,2.0,6,2.0,1,32.0,30.0
202607250104,2026-07-25,01,04R,17:00,2026-07-25T16:50:21.687136+09:00,1631,5.0,8,4.0,1,33.0,25.0
202607250612,2026-07-25,06,12R,17:02,2026-07-25T16:52:25.279351+09:00,1639,3.0,6,2.0,1,37.0,28.0
202607251204,2026-07-25,12,04R,17:04,2026-07-25T16:54:24.102701+09:00,1634,2.0,4,1.0,1,35.0,34.0
202607251504,2026-07-25,15,04R,17:06,2026-07-25T16:56:27.466494+09:00,1636,2.0,7,2.0,1,35.0,28.0
202607250411,2026-07-25,04,11R,17:08,2026-07-25T16:58:23.190532+09:00,1642,2.0,3,3.0,3,30.0,28.0
202607252004,2026-07-25,20,04R,17:13,2026-07-25T17:04:22.538121+09:00,1640,2.0,1,2.0,1,31.0,33.0
202607250105,2026-07-25,01,05R,17:24,2026-07-25T17:14:32.433679+09:00,1631,5.0,8,4.0,1,33.0,25.0
202607251205,2026-07-25,12,05R,17:28,2026-07-25T17:18:29.032038+09:00,1634,2.0,4,1.0,1,35.0,34.0
202607251505,2026-07-25,15,05R,17:33,2026-07-25T17:24:22.178349+09:00,1709,2.0,7,2.0,1,35.0,28.0
202607252005,2026-07-25,20,05R,17:37,2026-07-25T17:28:23.731360+09:00,1640,2.0,1,2.0,1,31.0,33.0
202607252401,2026-07-25,24,01R,17:41,2026-07-25T17:31:06.391952+09:00,1635,2.0,8,1.0,1,32.0,33.0
202607250412,2026-07-25,04,12R,17:42,2026-07-25T17:32:30.321865+09:00,1711,1.0,3,3.0,2,29.0,28.0
202607250106,2026-07-25,01,06R,17:50,2026-07-25T17:40:36.698778+09:00,1704,4.0,1,3.0,1,32.0,25.0
202607251206,2026-07-25,12,06R,17:55,2026-07-25T17:46:25.623018+09:00,1731,0.0,,1.0,1,34.0,34.0
202607251506,2026-07-25,15,06R,18:00,2026-07-25T17:50:25.960406+09:00,1736,2.0,7,2.0,1,35.0,28.0
202607252006,2026-07-25,20,06R,18:04,2026-07-25T17:54:23.939907+09:00,1716,1.0,1,1.0,1,31.0,33.0
202607252402,2026-07-25,24,02R,18:08,2026-07-25T17:58:20.364829+09:00,1744,2.0,8,1.0,1,32.0,33.0
202607250107,2026-07-25,01,07R,18:14,2026-07-25T18:04:22.430900+09:00,1728,5.0,4,4.0,1,31.0,25.0
202607251207,2026-07-25,12,07R,18:19,2026-07-25T18:10:33.445271+09:00,1731,0.0,,1.0,1,34.0,34.0
202607251507,2026-07-25,15,07R,18:24,2026-07-25T18:14:39.355332+09:00,1736,2.0,7,2.0,1,35.0,28.0
202607252007,2026-07-25,20,07R,18:28,2026-07-25T18:18:22.125168+09:00,1740,2.0,1,2.0,1,31.0,33.0
202607252403,2026-07-25,24,03R,18:34,2026-07-25T18:24:26.202713+09:00,1811,3.0,2,2.0,1,31.0,33.0
202607250108,2026-07-25,01,08R,18:40,2026-07-25T18:30:42.460173+09:00,1754,5.0,3,4.0,1,30.0,25.0
202607251208,2026-07-25,12,08R,18:45,2026-07-25T18:36:24.571657+09:00,1758,0.0,,1.0,1,34.0,34.0
202607251508,2026-07-25,15,08R,18:50,2026-07-25T18:40:27.032872+09:00,1803,2.0,7,2.0,1,34.0,28.0
202607252008,2026-07-25,20,08R,18:54,2026-07-25T18:44:27.492232+09:00,1807,3.0,1,3.0,1,30.0,33.0
202607252404,2026-07-25,24,04R,19:03,2026-07-25T18:54:19.613120+09:00,1837,2.0,1,1.0,1,31.0,33.0
202607250109,2026-07-25,01,09R,19:09,2026-07-25T19:00:24.417968+09:00,1844,4.0,3,3.0,1,27.0,25.0
202607251209,2026-07-25,12,09R,19:14,2026-07-25T19:04:23.586949+09:00,1848,3.0,1,1.0,1,33.0,34.0
202607251509,2026-07-25,15,09R,19:19,2026-07-25T19:10:21.013256+09:00,1853,1.0,6,1.0,1,33.0,28.0
202607252009,2026-07-25,20,09R,19:23,2026-07-25T19:14:26.041840+09:00,1857,2.0,1,2.0,1,30.0,33.0
