レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609160808,2026-09-16,08,08R,5230,0.1903,0.1363,0.2443,5182,0.1467,0.101,0.1924,5324,0.193,0.1516,0.2343,5439,0.2072,0.1515,0.2629,5203,0.1429,0.1097,0.1761,4502,0.1504,0.1098,0.1909
202609160809,2026-09-16,08,09R,4045,0.1524,0.1124,0.1925,5155,0.1375,0.0948,0.1803,5365,0.2137,0.1578,0.2695,3232,0.152,0.1176,0.1864,5436,0.2045,0.1476,0.2615,4897,0.1986,0.1563,0.2408
202609160810,2026-09-16,08,10R,4208,0.1371,0.1015,0.1728,4433,0.1679,0.1245,0.2112,4938,0.1348,0.0968,0.1728,4726,0.1519,0.1008,0.203,5272,0.1777,0.1363,0.2191,4941,0.215,0.1766,0.2534
202609160811,2026-09-16,08,11R,4964,0.1284,0.0893,0.1674,5188,0.1469,0.1027,0.1912,4556,0.1454,0.1058,0.1851,4190,0.1688,0.1256,0.2121,4909,0.169,0.1329,0.205,5079,0.1871,0.1404,0.2339
202609160812,2026-09-16,08,12R,4502,0.1295,0.0889,0.17,4825,0.125,0.0886,0.1613,4764,0.1595,0.1139,0.205,4534,0.1898,0.1469,0.2327,5146,0.1562,0.1195,0.1929,5230,0.2112,0.1572,0.2652
202609160901,2026-09-16,09,01R,3900,0.1729,0.1328,0.213,5277,0.1538,0.112,0.1956,4017,0.17,0.1365,0.2035,5327,0.1953,0.1462,0.2444,4349,0.1792,0.1285,0.2298,5204,0.1758,0.1291,0.2226
202609160902,2026-09-16,09,02R,3268,0.1502,0.1117,0.1888,5172,0.177,0.1336,0.2204,5359,0.1586,0.1127,0.2045,4458,0.1398,0.103,0.1766,3827,0.1652,0.1232,0.2072,3973,0.1974,0.1555,0.2394
202609160903,2026-09-16,09,03R,4644,0.127,0.094,0.1599,5073,0.165,0.1249,0.2052,5354,0.1525,0.1012,0.2039,4318,0.1588,0.1138,0.2038,3211,0.1652,0.1251,0.2053,3349,0.1721,0.1286,0.2156
202609160904,2026-09-16,09,04R,4423,0.1467,0.1028,0.1905,4933,0.1192,0.0856,0.1527,4949,0.1431,0.0999,0.1862,4058,0.1739,0.1356,0.2122,3619,0.1735,0.1394,0.2076,4757,0.1449,0.1068,0.183
202609160905,2026-09-16,09,05R,4824,0.1128,0.0773,0.1483,4390,0.1715,0.1291,0.2138,4119,0.1646,0.12,0.2092,4702,0.1315,0.0945,0.1685,3430,0.1585,0.1225,0.1944,4106,0.1947,0.151,0.2383
