レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608161001,2026-08-16,10,1R,daily,4-1-2,4-1-5,2-1-4,4-1-3,3-1-2,まくり,まくり,差し,差し,まくり差し
202608161001,2026-08-16,10,1R,realtime,4-1-2,4-1-5,2-1-4,4-1-3,3-1-4,まくり,まくり,差し,差し,まくり差し
202608161002,2026-08-16,10,2R,daily,2-1-4,2-1-3,2-1-5,2-4-1,4-1-2,差し,差し,差し,差し,まくり
202608161002,2026-08-16,10,2R,realtime,2-1-4,2-1-3,4-1-2,2-1-5,2-4-1,差し,差し,まくり,差し,差し
202608161003,2026-08-16,10,3R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202608161003,2026-08-16,10,3R,realtime,2-1-5,2-1-3,3-1-2,3-1-5,2-5-1,差し,差し,まくり差し,まくり差し,差し
202608161004,2026-08-16,10,4R,daily,3-1-4,3-1-2,2-1-3,4-1-3,4-1-2,まくり差し,まくり差し,差し,差し,まくり
202608161004,2026-08-16,10,4R,realtime,3-1-4,4-1-3,3-4-1,2-1-3,3-1-2,まくり差し,差し,まくり,差し,まくり差し
202608161005,2026-08-16,10,5R,daily,4-1-2,4-1-5,4-1-3,4-1-6,3-1-4,まくり,まくり,差し,まくり,まくり差し
202608161005,2026-08-16,10,5R,realtime,4-1-5,4-1-2,4-1-3,5-1-4,2-1-4,まくり,まくり,差し,まくり差し,差し
202608161006,2026-08-16,10,6R,daily,2-1-3,2-1-4,2-3-1,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202608161006,2026-08-16,10,6R,realtime,2-1-3,2-1-4,2-3-1,2-3-4,2-4-3,差し,差し,差し,まくり,まくり
202608161007,2026-08-16,10,7R,daily,2-1-4,2-1-3,2-1-5,2-1-6,2-4-1,差し,差し,差し,差し,差し
202608161007,2026-08-16,10,7R,realtime,2-1-4,2-1-3,2-4-1,2-1-5,2-3-1,差し,差し,差し,差し,差し
202608161008,2026-08-16,10,8R,daily,4-1-3,4-1-2,4-1-5,4-3-1,3-1-4,差し,まくり,まくり,まくり,まくり差し
202608161008,2026-08-16,10,8R,realtime,4-1-2,4-2-1,4-1-5,4-1-3,2-1-4,まくり,まくり,まくり,差し,差し
202608161009,2026-08-16,10,9R,daily,3-1-2,3-2-1,3-1-4,2-1-3,3-1-5,まくり差し,まくり,まくり差し,差し,まくり差し
202608161009,2026-08-16,10,9R,realtime,3-2-1,3-1-2,2-1-3,2-3-1,3-2-4,まくり,まくり差し,差し,差し,まくり
202608161010,2026-08-16,10,10R,daily,2-1-3,2-1-4,3-1-4,3-1-2,3-1-5,差し,差し,まくり差し,まくり差し,まくり差し
202608161010,2026-08-16,10,10R,realtime,2-1-3,2-1-4,3-1-4,3-1-2,2-1-5,差し,差し,まくり差し,まくり差し,差し
202608161011,2026-08-16,10,11R,daily,2-1-3,3-1-2,2-1-5,3-1-5,2-1-4,差し,まくり差し,差し,まくり差し,差し
202608161011,2026-08-16,10,11R,realtime,3-1-2,2-1-3,3-1-4,3-1-5,3-1-6,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608161012,2026-08-16,10,12R,daily,4-1-2,2-1-4,4-1-3,4-1-5,2-1-3,まくり,差し,差し,まくり,差し
202608161012,2026-08-16,10,12R,realtime,4-1-2,2-1-4,4-1-3,4-1-5,2-1-3,まくり,差し,差し,まくり,差し
202608161101,2026-08-16,11,1R,daily,3-1-4,2-1-3,3-1-2,2-1-4,4-1-6,まくり差し,差し,まくり差し,差し,まくり
202608161101,2026-08-16,11,1R,realtime,6-1-3,3-1-4,6-1-2,3-1-6,6-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608161102,2026-08-16,11,2R,daily,3-1-4,3-1-5,3-1-2,3-1-6,3-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202608161102,2026-08-16,11,2R,realtime,3-1-5,3-1-4,3-1-2,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202608161103,2026-08-16,11,3R,daily,4-1-2,4-1-3,2-1-4,4-1-5,4-1-6,まくり,差し,差し,まくり,まくり
202608161103,2026-08-16,11,3R,realtime,4-1-2,2-1-3,2-1-4,4-1-6,2-1-6,まくり,差し,差し,まくり,差し
202608161104,2026-08-16,11,4R,daily,2-1-3,2-1-4,2-3-1,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202608161104,2026-08-16,11,4R,realtime,2-1-3,2-1-4,2-3-1,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202608161105,2026-08-16,11,5R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202608161105,2026-08-16,11,5R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202608161106,2026-08-16,11,6R,daily,4-1-3,3-1-4,4-1-2,4-3-1,3-4-1,差し,まくり差し,まくり,まくり,まくり
202608161106,2026-08-16,11,6R,realtime,4-1-2,4-1-3,4-1-5,3-1-4,2-1-4,まくり,差し,まくり,まくり差し,差し
202608161107,2026-08-16,11,7R,daily,2-1-3,2-1-5,2-1-4,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し
202608161107,2026-08-16,11,7R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608161108,2026-08-16,11,8R,daily,5-1-2,2-1-5,2-1-4,4-1-2,2-1-3,まくり差し,差し,差し,まくり,差し
202608161108,2026-08-16,11,8R,realtime,5-1-2,5-1-4,5-1-3,2-1-5,5-1-6,まくり,まくり,差し,差し,まくり
202608161109,2026-08-16,11,9R,daily,3-1-2,3-1-4,2-1-3,3-1-5,4-1-2,まくり差し,まくり差し,差し,まくり差し,まくり
