レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202603301304,4,2,5,1,2,3,×,○,×,×,逃げ,逃げ,○,5,1.0,2,2.0,3,3.0,1,4.0,4,5.0,6,6.0,3,×,0.043,0.19,0.055,0.22,0.151,0.21,0.01,0.21,0.004,0.22,0.094,0.3,0.1655
202603301305,4,2,1,1,2,6,×,○,×,×,逃げ,逃げ,○,3,1.0,4,2.0,6,3.0,1,6.0,2,4.0,5,5.0,1,×,0.026,0.22,0.066,0.21,-0.008,0.15,0.03,0.13,0.011,0.14,0.026,0.14,0.13983333333333334
202603301306,1,4,5,2,4,1,×,○,×,×,逃げ,まくり,×,1,1.0,5,2.0,2,3.0,3,4.0,4,5.0,6,6.0,2,×,0.026,0.19,0.048,0.08,0.016,0.14,0.003,0.12,0.077,0.26,0.067,0.14,0.1155
202603301307,1,3,2,1,2,5,○,×,×,×,逃げ,逃げ,○,1,1.0,2,2.0,3,3.0,5,4.0,4,5.0,6,6.0,4,×,0.021,0.18,-0.021,0.26,0.034,0.24,0.079,0.31,0.025,0.24,0.035,0.38,0.23950000000000002
202603301308,1,2,4,4,1,6,×,×,×,×,逃げ,差し,×,1,1.0,2,2.0,4,3.0,3,4.0,6,6.0,5,5.0,4,×,0.006,0.17,0.003,0.29,0.045,0.27,0.092,0.05,-0.006,0.11,0.033,0.07,0.14516666666666667
202603301309,3,6,4,1,6,4,×,○,○,×,逃げ,逃げ,○,6,1.0,5,2.0,2,4.0,3,3.0,4,6.0,1,5.0,1,×,0.037,0.19,0.171,0.16,0.07,0.35,0.056,0.14,0.067,0.2,0.034,0.17,0.13283333333333333
202603301310,3,1,5,1,2,3,×,×,×,×,逃げ,逃げ,○,4,1.0,5,2.0,1,3.0,3,4.0,2,5.0,6,6.0,1,×,0.002,0.27,-0.007,0.21,0.01,0.22,0.061,0.21,0.043,0.19,0.036,0.2,0.1925
202603301311,2,3,5,3,2,5,×,×,○,×,逃げ,差し,×,5,1.0,1,2.0,4,3.0,6,4.0,2,5.0,3,6.0,0,×,0.005,0.16,0.041,0.11,0.077,0.11,0.036,0.12,0.019,0.13,0.007,0.16,0.10083333333333333
202603301312,5,6,1,1,2,3,×,×,×,×,逃げ,逃げ,○,5,1.0,3,2.0,6,3.0,4,4.0,1,5.0,2,6.0,1,×,-0.006,0.15,0.03,0.18,0.135,0.19,0.026,0.19,0.018,0.21,0.053,0.19,0.14233333333333334
202603300801,1,5,4,1,2,5,○,×,×,×,逃げ,逃げ,○,2,1.0,5,2.0,6,6.0,4,3.0,1,4.0,3,5.0,1,×,0.135,0.07,0.053,0.02,0.037,0.08,0.002,0.06,0.052,0.08,0.095,0.09,0.03866666666666667
202603300802,2,3,4,1,5,2,×,×,×,×,逃げ,逃げ,○,1,1.0,4,2.0,2,5.0,5,6.0,6,3.0,3,4.0,1,×,0.01,0.19,0.055,0.16,0.063,0.28,0.096,0.34,0.015,0.25,0.028,0.31,0.2105
202603300803,1,3,6,4,3,2,×,○,×,×,逃げ,まくり,×,1,1.0,6,2.0,2,3.0,3,4.0,5,5.0,4,6.0,2,×,0.038,0.1,0.039,0.28,0.046,0.18,0.006,0.07,0.029,0.09,0.052,0.09,0.10000000000000002
202603300804,1,2,5,1,3,5,○,×,○,×,逃げ,逃げ,○,2,1.0,4,3.0,5,4.0,3,5.0,1,6.0,6,2.0,0,×,0.021,0.11,0.085,0.19,0.061,0.19,0.035,0.22,0.086,0.2,0.002,0.11,0.12166666666666666
202603300805,3,6,1,4,5,1,×,×,○,×,差し,まくり,×,2,1.0,3,2.0,6,3.0,4,4.0,5,5.0,1,6.0,2,×,0.031,0.19,-0.021,0.18,0.088,0.18,0.021,0.09,0.032,0.21,0.07,0.17,0.13316666666666663
202603300806,1,6,2,1,2,4,○,×,×,×,逃げ,,-,1,1.0,5,2.0,6,3.0,3,4.0,4,5.0,2,6.0,1,×,0.018,0.09,0.005,0.07,0.044,0.13,0.076,0.2,0.063,0.12,0.082,0.17,0.082
