レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202605181410,2026-05-18,14,10R,12:58,2026-05-18T13:16:23.680551+09:00,1302,まくり差し,3,興津　　　藍,"1'47""6",1,藤原　　孝斗,"1'48""7",6,石川　　　諒,"1'51""2",2,前野　　竜一,"1'52""6",5,竹腰　　正樹,,4,森口　　和紀,,1,0.08,,2,0.15,,3,0.09,,4,0.21,,5,0.07,,6,0.08,,1,4,2.0,2.0,25.0,19.0
202605181810,2026-05-18,18,10R,13:02,2026-05-18T13:24:25.795027+09:00,1305,まくり,2,川野　　芽唯,"1'49""9",5,中川　　りな,"1'52""1",3,金田　　幸子,"1'54""3",4,鈴木　　成美,"1'55""5",1,稲生　　夏季,,6,小畑　　楓夏,,1,0.18,,2,0.13,,3,0.1,,4,0.12,,5,0.15,,6,0.29,,1,6,2.0,2.0,26.0,22.0
202605182106,2026-05-18,21,06R,13:10,2026-05-18T13:26:21.326546+09:00,1313,まくり差し,5,松田　大志郎,"1'45""7",1,稲田　　浩二,"1'47""7",3,馬場　　貴也,"1'49""5",6,丸野　　一樹,"1'50""9",2,仲谷　　颯仁,"1'52""0",4,平本　　真之,"1'52""9",1,0.07,,2,0.18,,3,0.13,,4,0.08,,5,0.13,,6,0.07,,1,1,3.0,3.0,31.8,26.9
202605180206,2026-05-18,02,06R,13:14,2026-05-18T13:28:27.354030+09:00,1317,まくり,4,黒野　　元基,"1'49""8",5,大塚　　康雅,"1'51""1",6,芦澤　　　望,"1'52""4",1,北中　　元樹,"1'54""1",2,中村　　桃佳,,3,花本　　夏樹,,1,0.25,,2,0.16,,3,0.27,,4,0.08,,5,0.1,,6,0.19,,1,5,2.0,1.0,28.0,25.0
202605181706,2026-05-18,17,06R,13:19,2026-05-18T13:34:20.693380+09:00,1322,逃　げ,1,井芹　　大志,"1'50""3",2,宇佐見　　淳,"1'51""6",3,吉村　　　誠,"1'53""3",5,廣中　　良一,"1'53""9",4,河野　　真也,"1'57""1",6,上馬場　風依,"1'59""3",1,0.17,,2,0.18,,3,0.18,,4,0.14,,5,0.13,,6,0.15,,1,3,1.0,1.0,23.0,19.0
202605181011,2026-05-18,10,11R,13:22,2026-05-18T13:40:29.466349+09:00,1325,逃　げ,1,倉持　　莉々,"1'58""4",6,水摩　　　敦,"2'01""8",5,川崎　　誠志,"2'03""9",3,松下　　一也,"2'05""5",2,向所　　浩二,,,,,1,0.13,,6,0.24,,2,0.2,,3,0.2,,4,0.22,,5,0.23,,1,7,4.0,4.0,30.0,23.0
202605180605,2026-05-18,06,05R,13:27,2026-05-18T13:42:20.615046+09:00,1331,まくり,2,前田　　聖文,"1'50""0",4,森定　　晃史,"1'51""5",5,喜多　那由夏,"1'52""9",3,浜本　　裕己,"1'53""1",6,土屋　　太朗,,1,丸山　　祐也,,1,0.31,,2,0.23,,3,0.24,,4,0.22,,5,0.26,,6,0.32,,1,5,4.0,2.0,23.0,24.0
202605181411,2026-05-18,14,11R,13:30,2026-05-18T13:48:28.291475+09:00,1334,抜　き,6,秋元　　　哲,"1'48""8",3,木村　　亮太,"1'49""6",2,荒牧　　凪沙,"1'50""6",4,倉尾　　大介,"1'51""9",5,吉田　　俊彦,,1,栗原　　直也,,1,0.23,,2,0.2,,3,0.18,,4,0.22,,5,0.22,,6,0.27,,1,4,4.0,4.0,24.0,19.0
202605181811,2026-05-18,18,11R,13:33,2026-05-18T13:56:25.366766+09:00,1336,逃　げ,1,内山　　七海,"1'51""0",4,福島　　陽子,"1'52""7",2,福山　恵里奈,"1'54""3",6,永井　　聖美,"1'55""2",3,山川　美由紀,,5,田中　瀬里奈,,1,0.09,,2,0.11,,3,0.21,,4,0.14,,6,0.14,,5,0.15,,1,5,1.0,1.0,26.0,21.0
202605182107,2026-05-18,21,07R,13:42,2026-05-18T13:58:21.000740+09:00,1345,逃　げ,1,山口　　　剛,"1'46""9",2,石本　　裕武,"1'49""4",6,瓜生　　正義,"1'50""6",5,桐生　　順平,"1'51""2",3,守田　　俊介,"1'52""4",4,藤原　　碧生,"1'54""4",1,0.14,,2,0.1,,3,0.09,,4,0.08,,5,0.13,,6,0.14,,1,8,4.0,4.0,29.6,26.9
