レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202608101407,2026-08-10,14,07R,11:28,2026-08-10T11:18:27.285211+09:00,2.9,17.3,17.3,24.0,30.9,3.9,17.3,18.8,21.6,43.2,24.0,18.8,30.9,54.0,86.5,30.9,39.3,61.8,54.0,61.8,30.9,43.2,216.3,144.2,108.1,108.1,144.2,432.7,216.3,216.3,1.0,22.1,53.2,133.1,88.7,24.2,24.2,88.7,53.2,88.7,266.2,266.2,266.2,133.1,133.1
202608100501,2026-08-10,05,01R,11:33,2026-08-10T11:24:22.579364+09:00,9.7,34.4,7.6,81.8,72.7,7.4,14.2,5.7,17.6,28.4,19.8,26.1,26.1,93.5,130.9,4.9,14.8,29.7,43.6,65.4,38.5,65.4,109.1,163.6,163.6,109.1,163.6,327.3,163.6,327.3,3.7,12.6,11.1,29.6,0.0,11.8,3.1,5.3,6.8,17.7,88.8,0.0,22.2,88.8,88.8
202608100803,2026-08-10,08,03R,11:35,2026-08-10T11:26:26.586321+09:00,2.3,25.8,40.1,51.6,45.1,2.2,45.1,22.5,32.8,27.8,51.6,72.3,72.3,361.5,120.5,60.2,51.6,120.5,60.2,120.5,51.6,60.2,180.7,120.5,361.5,72.3,120.5,60.2,361.5,0.0,4.4,15.9,14.3,11.9,13.0,6.8,11.9,14.3,8.9,14.3,17.9,17.9,14.3,11.0,15.9
202608101803,2026-08-10,18,03R,11:38,2026-08-10T11:28:27.788367+09:00,4.9,7.3,13.9,13.5,38.7,6.5,14.5,24.1,13.6,38.7,25.2,24.1,42.6,36.2,63.9,29.7,38.1,72.4,37.4,72.4,23.6,20.6,50.5,40.9,36.2,103.4,114.3,310.3,167.1,90.5,2.9,7.8,9.0,6.8,45.0,9.4,8.7,7.8,26.5,18.8,22.5,58.5,22.5,73.1,36.5
202608100302,2026-08-10,03,02R,11:41,2026-08-10T11:32:27.213290+09:00,26.4,8.8,13.6,44.0,49.5,19.8,14.1,28.3,44.0,198.3,6.7,15.2,6.2,26.4,30.5,9.4,18.0,11.6,23.3,132.2,26.4,99.1,66.1,79.3,49.5,44.0,396.7,132.2,198.3,132.2,16.7,3.4,8.3,8.3,23.8,8.8,12.8,18.5,55.7,4.6,12.8,15.2,15.2,83.6,167.2
202608102307,2026-08-10,23,07R,11:45,2026-08-10T11:36:23.035104+09:00,10.2,11.1,79.2,39.6,50.4,37.0,92.5,277.5,111.0,277.5,3.0,13.5,15.8,2.4,16.8,61.6,92.5,277.5,277.5,185.0,111.0,185.0,61.6,185.0,555.0,138.7,277.5,185.0,138.7,277.5,14.1,3.7,45.9,26.2,61.2,16.7,91.8,61.2,183.7,20.4,1.4,22.9,0.0,45.9,26.2
202608102108,2026-08-10,21,08R,11:49,2026-08-10T11:40:25.334953+09:00,5.5,14.7,15.0,27.6,34.6,3.5,12.1,9.7,34.6,30.0,40.7,19.2,21.6,98.8,98.8,26.6,16.8,17.7,38.4,46.1,86.5,86.5,115.3,98.8,230.7,86.5,138.4,115.3,138.4,230.7,3.7,10.9,7.5,15.8,23.7,6.1,5.9,9.5,20.3,12.9,23.7,71.2,47.5,20.3,20.3
202608101304,2026-08-10,13,04R,11:54,2026-08-10T11:44:23.396734+09:00,7.1,6.9,22.6,20.7,12.4,22.6,9.9,41.5,41.5,10.3,22.6,35.5,31.1,83.0,14.6,49.8,41.5,83.0,49.8,83.0,31.1,41.5,62.2,83.0,83.0,17.7,13.8,19.1,49.8,62.2,2.4,7.2,13.5,23.6,5.2,6.7,23.6,94.5,13.5,47.2,47.2,11.8,31.5,47.2,47.2
202608100904,2026-08-10,09,04R,11:56,2026-08-10T11:46:30.254384+09:00,4.8,3.7,11.8,10.4,38.7,10.4,15.0,22.6,54.3,271.5,4.5,30.1,90.5,90.5,135.7,135.7,38.7,90.5,90.5,135.7,45.2,54.3,90.5,90.5,0.0,135.7,271.5,0.0,271.5,0.0,1.7,6.2,17.4,14.5,87.0,4.1,29.0,12.4,87.0,0.0,17.4,0.0,0.0,87.0,43.5
202608101603,2026-08-10,16,03R,11:58,2026-08-10T11:48:23.712699+09:00,28.3,32.6,17.6,42.4,84.9,47.1,22.3,18.4,47.1,60.6,11.7,21.2,8.1,28.3,28.3,11.7,15.1,9.2,16.3,16.3,84.9,47.1,47.1,23.5,84.9,24.9,22.3,23.5,26.5,26.5,34.2,9.3,5.4,25.6,34.2,25.6,14.6,8.5,51.3,4.2,12.8,14.6,5.7,9.3,25.6
