記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-08-20,11,20,6,46,29.346334,20.047165,42.959057,0.253443,0.205587
2026-08-20,11,21,6,45,26.554594,17.429854,40.456246,-0.075737,-0.060726
2026-08-20,11,23,6,41,25.478747,17.482336,37.132712,-0.292953,-0.230798
2026-08-20,11,24,3,20,14.379637,10.983494,18.825882,-0.228842,-0.149454
2026-08-20,11,25,6,43,26.87965,18.02187,40.091042,-0.138978,-0.111233
2026-08-20,11,27,5,38,23.966128,15.985093,35.931933,0.088054,0.068884
2026-08-20,11,28,6,44,27.808974,19.129077,40.427411,-0.221736,-0.177764
2026-08-20,11,29,6,46,29.172315,20.127207,42.282268,0.181168,0.146516
2026-08-20,11,31,6,44,29.163006,20.77334,40.940981,0.094532,0.075975
2026-08-20,11,34,6,49,30.034007,20.00716,45.085938,-0.19245,-0.157514
2026-08-20,11,35,6,44,25.754745,16.949855,39.133485,0.075478,0.060116
2026-08-20,11,36,6,37,24.366127,17.310292,34.297985,-0.066913,-0.051808
2026-08-20,11,38,5,39,24.776854,17.24878,35.590488,0.101141,0.078957
2026-08-20,11,40,6,44,27.902335,19.166826,40.619155,0.00268,0.002151
2026-08-20,11,41,6,44,27.321828,18.391169,40.589171,0.084687,0.067947
2026-08-20,11,43,6,46,28.663712,19.107546,42.999157,-0.270069,-0.219112
2026-08-20,11,44,6,39,26.292433,18.853456,36.666594,0.033543,0.026355
2026-08-20,11,45,6,46,28.890441,19.712593,42.341337,0.089588,0.072472
2026-08-20,11,49,6,46,28.273387,19.157533,41.726899,-0.324585,-0.261835
2026-08-20,11,52,6,47,29.25342,20.007114,42.772916,0.04674,0.037883
2026-08-20,11,53,6,43,26.527066,17.427868,40.377012,-0.185391,-0.14859
2026-08-20,11,54,6,43,27.540427,19.131285,39.645803,0.125797,0.100458
2026-08-20,11,55,6,46,27.25043,17.808309,41.698848,-0.058108,-0.046868
2026-08-20,11,57,6,45,27.16225,18.115229,40.727492,0.442547,0.355307
2026-08-20,11,58,6,44,25.732281,16.534573,40.04641,0.007421,0.005938
2026-08-20,11,60,6,40,24.081877,15.718746,36.894598,-0.226706,-0.178362
2026-08-20,11,61,6,44,27.248226,18.306533,40.557423,-0.066282,-0.053172
2026-08-20,11,62,6,45,27.756969,18.233355,42.254942,0.031663,0.025604
2026-08-20,11,63,5,38,23.592982,16.443637,33.850712,-0.418965,-0.323421
2026-08-20,11,64,6,44,26.336495,17.718986,39.145072,0.069714,0.055529
2026-08-20,11,65,6,45,27.716032,18.214533,42.173931,-0.042538,-0.034385
2026-08-20,11,66,6,44,27.267422,17.998581,41.309497,0.077082,0.062059
2026-08-20,11,67,6,46,27.611153,18.452713,41.315104,0.204013,0.164256
2026-08-20,11,69,6,48,30.932226,21.197438,45.137653,-0.213468,-0.174753
2026-08-20,11,71,6,48,30.361301,20.599776,44.748477,0.119882,0.097985
2026-08-20,11,72,6,46,28.789784,19.771125,41.922333,0.124032,0.100144
2026-08-20,13,1,6,42,28.681948,20.579225,39.974982,-0.246015,-0.196787
2026-08-20,13,5,6,40,29.372551,22.467404,38.39993,-0.110197,-0.087429
2026-08-20,13,6,6,39,26.439615,18.53353,37.7183,0.157665,0.124624
2026-08-20,13,7,6,40,28.899903,21.906228,38.126343,-0.034742,-0.027523
2026-08-20,13,9,6,42,27.290044,19.078833,39.035221,0.121999,0.097119
2026-08-20,13,10,6,38,27.779565,21.20399,36.394293,-0.090006,-0.070606
2026-08-20,13,12,6,42,28.422367,20.372643,39.652734,0.158211,0.126347
2026-08-20,13,15,6,43,29.415379,21.2779,40.664941,-0.230893,-0.18532
2026-08-20,13,16,6,43,28.485378,20.057084,40.455369,0.189775,0.152163
2026-08-20,13,17,6,41,26.430552,18.397277,37.971602,0.434786,0.344152
2026-08-20,13,18,6,43,29.101557,20.96123,40.403193,0.380125,0.304708
2026-08-20,13,19,5,33,22.524755,16.054805,31.602039,-0.212745,-0.161607
2026-08-20,13,20,6,41,29.002141,21.382984,39.336144,-0.49694,-0.396214
2026-08-20,13,21,6,42,28.225199,19.728094,40.3821,-0.032163,-0.025779
2026-08-20,13,22,6,35,23.709646,16.639479,33.783949,-0.307415,-0.237203
2026-08-20,13,23,6,41,26.985366,19.010175,38.306327,0.062008,0.049172
2026-08-20,13,24,6,40,28.308438,21.107436,37.966131,-0.19961,-0.157995
2026-08-20,13,25,6,41,27.216105,19.411686,38.15827,0.228011,0.180665
2026-08-20,13,26,6,39,25.497221,17.977228,36.162877,-0.015385,-0.012052
2026-08-20,13,27,6,39,22.804493,14.586907,35.651485,-0.249149,-0.194573
2026-08-20,13,28,6,38,23.613807,15.604042,35.735092,-0.025131,-0.019636
2026-08-20,13,29,6,37,26.233435,19.576512,35.15402,-0.254589,-0.198207
2026-08-20,13,31,6,41,28.689912,21.163458,38.893032,0.226092,0.179849
2026-08-20,13,33,6,40,27.25351,19.793154,37.525793,-0.092496,-0.073034
2026-08-20,13,35,6,39,26.518926,19.240892,36.549939,-0.100136,-0.078624
2026-08-20,13,36,6,39,28.639242,22.003187,37.2767,0.219958,0.173432
2026-08-20,13,38,6,39,26.829075,19.611722,36.702503,-0.154732,-0.1216
2026-08-20,13,41,6,37,23.917302,16.271336,35.156139,-0.259539,-0.202063
2026-08-20,13,42,6,40,25.552368,17.07563,38.237156,-0.428943,-0.340019
2026-08-20,13,43,6,42,23.547176,14.117317,39.275839,-0.475436,-0.378951
2026-08-20,13,47,6,39,24.842401,16.88036,36.559936,0.051494,0.040434
2026-08-20,13,48,6,38,28.777333,22.408267,36.956668,-0.067604,-0.053207
2026-08-20,13,50,6,40,27.555723,19.652409,38.637394,0.154491,0.122727
2026-08-20,13,51,6,36,24.979225,17.908337,34.841968,0.041025,0.031876
2026-08-20,13,52,6,38,25.670437,18.416856,35.780881,-0.406221,-0.31749
2026-08-20,13,53,6,42,28.719083,20.772043,39.706531,0.028119,0.022462
2026-08-20,13,54,6,43,28.430931,19.947999,40.521248,0.121163,0.09718
2026-08-20,13,55,6,41,29.030109,21.689461,38.855149,0.241454,0.192032
2026-08-20,13,58,6,35,22.526934,15.406452,32.938327,-0.347402,-0.266495
2026-08-20,13,59,5,34,22.166335,15.154464,32.422551,-0.150086,-0.114707
2026-08-20,13,60,6,40,28.212807,21.087374,37.745928,-0.005937,-0.004694
2026-08-20,13,61,6,39,29.117972,22.368045,37.904799,0.431717,0.341597
2026-08-20,13,62,6,39,25.669517,18.128662,36.34709,-0.044445,-0.034855
2026-08-20,15,1,6,45,30.06478,21.753155,41.552178,0.00012,9.7e-05
2026-08-20,15,2,6,42,24.349584,15.746399,37.653195,0.012681,0.01002
2026-08-20,15,3,6,41,24.428391,15.982702,37.337011,-0.239449,-0.188865
2026-08-20,15,6,6,41,28.885564,21.472726,38.85747,0.135513,0.107777
2026-08-20,15,7,6,41,26.159828,18.342087,37.309637,0.209086,0.164891
2026-08-20,15,8,6,43,25.438717,16.626371,38.921801,0.248013,0.197317
2026-08-20,15,9,6,40,26.881789,19.456754,37.140348,-0.132683,-0.104537
2026-08-20,15,12,6,42,24.389708,15.691673,37.909144,-0.08939,-0.070732
2026-08-20,15,13,6,46,25.024408,14.949658,41.888651,0.138943,0.112166
2026-08-20,15,14,5,37,22.878427,15.45179,33.874549,-0.101424,-0.078307
2026-08-20,15,15,6,49,28.269712,18.416452,43.394711,0.281143,0.228489
2026-08-20,15,16,6,43,26.318921,18.05044,38.375,0.178727,0.141781
2026-08-20,15,20,6,44,30.239217,22.481742,40.673461,0.08,0.064212
2026-08-20,15,24,6,44,29.929134,21.793829,41.101224,0.237427,0.190965
2026-08-20,15,25,6,41,29.251821,21.696869,39.437444,-0.148811,-0.11871
2026-08-20,15,26,6,41,27.124974,19.391511,37.942593,0.298925,0.236574
2026-08-20,15,27,6,45,29.048547,20.060026,42.064657,-0.080119,-0.064731
2026-08-20,15,28,6,42,27.433354,19.741078,38.12299,0.039549,0.031331
2026-08-20,15,29,6,40,24.909766,17.186033,36.104693,0.154767,0.121198
2026-08-20,15,30,6,46,28.053205,18.650237,42.196907,0.285564,0.230855
2026-08-20,15,31,6,38,27.335209,20.415907,36.599581,0.256904,0.201774
2026-08-20,15,32,6,44,27.657051,19.192864,39.854003,-0.238304,-0.190504
2026-08-20,15,34,6,42,26.864708,18.240723,39.566004,0.150984,0.120522
2026-08-20,15,35,6,37,25.968305,19.095879,35.314053,0.107997,0.084164
2026-08-20,15,36,6,44,31.29174,23.359062,41.918334,-0.054374,-0.043901
2026-08-20,15,37,6,40,28.372714,20.938038,38.447292,0.078232,0.062084
2026-08-20,15,40,6,38,26.489984,19.536964,35.917519,-0.187649,-0.146783
2026-08-20,15,41,6,39,25.238456,17.591446,36.209624,0.375022,0.293866
2026-08-20,15,43,6,43,28.967291,20.878677,40.189518,0.00414,0.003315
2026-08-20,15,45,6,44,31.700851,23.734919,42.340314,0.136392,0.110334
2026-08-20,15,46,6,45,32.162706,23.891456,43.297473,-0.299059,-0.242948
2026-08-20,15,48,6,44,31.096086,22.796555,42.417222,0.363116,0.293842
2026-08-20,15,51,6,43,30.50661,22.492053,41.37698,-0.021985,-0.017706
2026-08-20,15,52,6,46,33.299119,25.027546,44.304437,-0.156292,-0.127511
2026-08-20,15,53,6,44,30.894397,22.93008,41.624966,-0.049099,-0.039588
2026-08-20,15,54,6,47,32.125275,23.543414,43.835327,0.158079,0.128716
2026-08-20,15,55,6,41,26.893821,18.992407,38.082461,-0.097044,-0.076861
2026-08-20,15,57,6,44,30.607565,22.516289,41.606459,-0.112681,-0.090846
2026-08-20,15,58,6,41,26.700876,18.479823,38.579201,-0.00132,-0.001048
2026-08-20,15,59,6,38,25.820197,18.813271,35.436826,-0.26802,-0.209033
2026-08-20,15,60,6,42,27.780744,19.697546,39.18101,0.079455,0.0633
2026-08-20,15,62,6,45,27.936358,19.339965,40.353751,-0.098029,-0.078561
2026-08-20,15,64,6,40,24.717747,16.375447,37.309945,-0.028907,-0.022797
2026-08-20,15,66,6,46,32.911257,24.470008,44.264426,0.056952,0.046457
2026-08-20,16,11,6,42,29.359706,21.439854,40.20514,-0.086005,-0.068874
2026-08-20,16,13,6,40,26.570727,18.505752,38.150493,0.025784,0.020429
2026-08-20,16,14,6,39,23.993043,15.581343,36.945859,0.032179,0.025325
2026-08-20,16,15,5,30,18.399242,11.958037,28.310007,-0.269447,-0.199113
2026-08-20,16,16,6,40,29.281286,22.070628,38.847727,0.580143,0.461377
2026-08-20,16,17,6,41,28.745909,21.215498,38.949229,-0.221844,-0.176523
2026-08-20,16,19,6,39,26.216471,18.397087,37.359359,0.478557,0.377509
2026-08-20,16,20,6,41,27.856379,19.870751,39.051259,0.042792,0.034068
2026-08-20,16,21,5,32,20.224673,13.360859,30.614601,0.132389,0.099793
2026-08-20,16,24,6,39,28.554196,21.499016,37.924626,-0.130878,-0.103568
2026-08-20,16,25,6,36,22.037554,14.273535,34.024772,-0.071158,-0.054995
2026-08-20,16,26,6,40,28.027058,20.488711,38.338965,-0.34889,-0.276714
2026-08-20,16,28,6,39,24.5735,16.305866,37.033108,-0.444425,-0.349933
2026-08-20,16,30,6,40,26.985459,19.038748,38.249102,-0.268099,-0.212534
2026-08-20,16,32,6,42,23.991341,14.938504,38.53026,-0.085555,-0.067926
2026-08-20,16,33,6,34,23.167443,16.657255,32.222022,-0.212665,-0.162296
2026-08-20,16,34,6,43,29.618933,21.682454,40.46042,0.022773,0.01826
2026-08-20,16,35,6,39,29.054623,22.245334,37.948234,0.336702,0.26648
2026-08-20,16,36,6,40,26.846083,18.79152,38.353055,0.084962,0.067391
2026-08-20,16,37,6,36,25.900383,19.496839,34.407109,0.019875,0.015399
2026-08-20,16,38,6,42,29.762589,22.015088,40.236574,0.017712,0.014186
2026-08-20,16,39,6,37,26.836372,19.994625,36.019223,-0.055091,-0.04312
2026-08-20,16,41,6,38,25.663478,18.126692,36.33394,-0.032939,-0.02583
2026-08-20,16,42,6,42,29.476511,21.636491,40.157377,-0.027845,-0.022294
2026-08-20,16,43,4,24,14.939393,10.162401,21.961885,0.691576,0.475201
2026-08-20,16,44,6,41,27.259469,18.933718,39.246313,0.059869,0.047712
2026-08-20,16,45,6,39,26.217017,18.432956,37.288211,-0.234961,-0.185274
